age,income,home_ownership,emplyment_length,loan_intent,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_on_file,credit_history_length,loan_approval_status,max_allowed_loan
21.0,35000,RENT,1,EDUCATION,15000,11.83,0.43,N,2,1,15000
21.0,35400,RENT,3,EDUCATION,13250,16.89,0.38,N,3,1,13250
21.0,34000,RENT,5,EDUCATION,10000,11.71,0.29,N,4,1,10000
21.0,30000,RENT,0,MEDICAL,1500,15.62,0.05,N,2,1,1500
21.0,88000,RENT,3,HOMEIMPROVEMENT,17600,16.35,0.19,N,2,1,17600
21.0,30000,RENT,3,PERSONAL,6000,12.42,0.2,N,2,1,6000
21.0,32000,RENT,2,DEBTCONSOLIDATION,1000,16.45,0.03,N,4,1,1000
21.0,42000,MORTGAGE,4,VENTURE,5200,17.27,0.12,Y,2,1,5200
21.0,36000,RENT,5,DEBTCONSOLIDATION,10400,14.84,0.3,Y,2,1,10400
21.0,25200,RENT,0,PERSONAL,9600,8.94,0.39,N,4,1,9600
21.0,49000,RENT,2,MEDICAL,6000,15.31,0.12,Y,4,1,6000
21.0,29004,RENT,0,PERSONAL,5000,17.49,0.17,Y,3,1,5000
21.0,24000,RENT,0,EDUCATION,1000,14.72,0.04,Y,2,1,1000
21.0,34000,RENT,2,PERSONAL,7500,14.59,0.23,N,3,1,7500
21.0,70000,RENT,5,EDUCATION,23000,14.54,0.34,Y,4,1,23000
21.0,32000,RENT,6,DEBTCONSOLIDATION,15000,7.9,0.47,N,2,1,15000
21.0,36000,RENT,6,MEDICAL,12000,7.88,0.33,N,3,1,12000
21.0,24996,RENT,0,DEBTCONSOLIDATION,5000,10.99,0.2,N,4,1,5000
21.0,24000,RENT,2,MEDICAL,3000,11.49,0.13,N,3,1,3000
21.0,29000,RENT,6,MEDICAL,5000,6.62,0.17,N,3,1,5000
21.0,45000,RENT,1,DEBTCONSOLIDATION,15000,9.25,0.33,N,2,1,15000
21.0,49000,MORTGAGE,5,VENTURE,7500,14.96,0.15,Y,4,1,7500
21.0,78000,RENT,5,DEBTCONSOLIDATION,25000,12.53,0.32,N,3,1,25000
21.0,22992,RENT,3,EDUCATION,5000,13.57,0.22,N,2,1,5000
21.0,24000,RENT,4,PERSONAL,9600,14.27,0.4,N,4,1,9600
21.0,27600,RENT,4,DEBTCONSOLIDATION,7500,13.06,0.27,Y,3,1,7500
21.0,71711,MORTGAGE,5,EDUCATION,10000,10.65,0.14,N,4,1,10000
21.0,19000,RENT,3,MEDICAL,5000,12.87,0.26,Y,4,1,5000
21.0,54000,RENT,2,EDUCATION,5000,13.17,0.09,N,4,1,5000
21.0,34000,RENT,2,VENTURE,12250,14.72,0.36,Y,3,1,12250
21.0,14400,RENT,2,PERSONAL,4000,10.99,0.26,N,4,1,4000
21.0,35000,RENT,5,EDUCATION,12000,11.71,0.34,N,2,1,12000
21.0,42000,MORTGAGE,5,PERSONAL,3000,15.57,0.07,Y,3,1,3000
21.0,28800,RENT,2,DEBTCONSOLIDATION,2800,16.77,0.1,Y,3,1,2800
21.0,42000,RENT,5,HOMEIMPROVEMENT,1000,13.49,0.02,Y,2,1,1000
21.0,30000,RENT,6,DEBTCONSOLIDATION,8000,11.71,0.27,N,2,1,8000
21.0,158004,RENT,2,HOMEIMPROVEMENT,5000,14.84,0.32,Y,3,1,5000
21.0,24000,RENT,0,HOMEIMPROVEMENT,7000,14.96,0.29,Y,2,1,7000
21.0,32400,RENT,1,HOMEIMPROVEMENT,9200,12.69,0.28,N,3,1,9200
21.0,33996,RENT,2,MEDICAL,5000,14.96,0.14,N,2,1,5000
21.0,29000,MORTGAGE,0,VENTURE,2400,12.53,0.09,N,2,1,2400
21.0,25200,RENT,5,HOMEIMPROVEMENT,7000,13.48,0.28,N,2,1,7000
21.0,34000,RENT,0,DEBTCONSOLIDATION,10000,6.54,0.29,N,3,1,10000
21.0,30000,RENT,2,DEBTCONSOLIDATION,12000,13.72,0.4,Y,4,1,12000
21.0,33996,RENT,0,PERSONAL,10000,15.31,0.29,Y,3,1,10000
21.0,38000,RENT,5,EDUCATION,12500,9.91,0.34,N,2,1,12500
21.0,44000,RENT,5,MEDICAL,15000,13.11,0.34,Y,3,1,15000
21.0,50000,RENT,2,EDUCATION,18000,10.62,0.36,N,2,1,18000
21.0,49000,RENT,5,HOMEIMPROVEMENT,3000,16.49,0.06,N,3,1,3000
21.0,28800,RENT,2,MEDICAL,12250,13.16,0.4,Y,3,1,12250
21.0,30992,RENT,3,PERSONAL,8400,14.72,0.26,Y,3,1,8400
21.0,55000,RENT,0,MEDICAL,6400,13.24,0.12,N,2,1,6400
21.0,60000,MORTGAGE,5,DEBTCONSOLIDATION,10000,16.89,0.17,N,2,1,10000
21.0,34000,RENT,2,VENTURE,4500,17.27,0.13,N,3,1,4500
21.0,32400,MORTGAGE,5,HOMEIMPROVEMENT,2500,14.72,0.08,Y,3,1,2500
21.0,30000,MORTGAGE,5,DEBTCONSOLIDATION,2000,14.26,0.07,Y,2,1,2000
21.0,33012,RENT,5,MEDICAL,12200,10.99,0.37,N,4,1,12200
21.0,91800,MORTGAGE,5,EDUCATION,25000,16.77,0.23,Y,3,1,25000
21.0,30000,RENT,5,PERSONAL,10800,9.63,0.35,N,2,1,10800
21.0,30000,RENT,4,VENTURE,14000,11.26,0.47,N,2,1,14000
21.0,32400,RENT,4,MEDICAL,11000,13.23,0.34,N,3,1,11000
21.0,19000,RENT,2,PERSONAL,3500,14.74,0.18,N,2,1,3500
21.0,19000,RENT,0,DEBTCONSOLIDATION,7150,13.85,0.39,Y,4,1,7150
21.0,34000,RENT,2,PERSONAL,5000,14.96,0.15,N,4,1,5000
21.0,39000,RENT,1,MEDICAL,14000,10.75,0.35,N,2,1,14000
21.0,59000,RENT,5,EDUCATION,21500,6.91,0.36,N,3,1,21500
21.0,32000,RENT,5,DEBTCONSOLIDATION,1200,10.99,0.04,N,4,1,1200
21.0,54000,RENT,5,HOMEIMPROVEMENT,9600,15.62,0.18,N,4,1,9600
21.0,48996,MORTGAGE,5,HOMEIMPROVEMENT,15000,10.75,0.31,N,2,1,15000
21.0,54000,MORTGAGE,5,EDUCATION,8000,16.77,0.15,N,2,1,8000
21.0,28000,RENT,2,HOMEIMPROVEMENT,3000,15.62,0.11,N,2,1,3000
21.0,54000,RENT,5,PERSONAL,6000,7.51,0.11,N,4,1,6000
21.0,29000,RENT,5,DEBTCONSOLIDATION,8000,12.84,0.28,N,4,1,8000
21.0,25000,RENT,5,MEDICAL,8500,7.9,0.34,N,3,1,8500
21.0,27600,RENT,1,PERSONAL,9600,10.62,0.36,N,3,1,9600
21.0,25000,RENT,5,MEDICAL,7500,13.16,0.3,Y,3,1,7500
21.0,58650,RENT,5,MEDICAL,5000,10.59,0.07,N,4,1,5000
21.0,25000,RENT,0,VENTURE,11100,13.47,0.44,N,3,1,11100
21.0,37000,RENT,1,VENTURE,5000,17.04,0.14,Y,3,1,5000
21.0,32000,RENT,6,EDUCATION,12000,10.99,0.38,N,2,1,12000
21.0,17000,RENT,0,PERSONAL,4200,16.0,0.26,N,2,1,4200
21.0,55000,RENT,0,HOMEIMPROVEMENT,10800,15.2,0.2,N,4,1,10800
21.0,30000,RENT,2,EDUCATION,10000,7.51,0.33,N,3,1,10000
21.0,30000,RENT,1,DEBTCONSOLIDATION,6000,11.71,0.2,N,2,1,6000
21.0,31200,RENT,0,DEBTCONSOLIDATION,8000,16.0,0.26,Y,2,1,8000
21.0,28200,RENT,2,PERSONAL,2500,15.58,0.09,N,4,1,2500
21.0,38604,RENT,0,PERSONAL,10500,10.36,0.27,N,3,1,10500
21.0,40000,RENT,1,HOMEIMPROVEMENT,20000,15.45,0.5,Y,2,1,20000
21.0,40000,RENT,5,VENTURE,14000,6.91,0.35,N,4,1,14000
21.0,52000,RENT,2,MEDICAL,18000,13.85,0.35,Y,2,1,18000
21.0,60000,RENT,5,DEBTCONSOLIDATION,20000,11.83,0.33,N,2,1,20000
21.0,56000,RENT,5,VENTURE,20000,12.61,0.36,N,3,1,20000
21.0,38400,RENT,5,EDUCATION,15000,11.99,0.39,N,2,1,15000
21.0,62400,RENT,0,EDUCATION,4000,14.61,0.06,Y,4,1,4000
21.0,34404,RENT,2,DEBTCONSOLIDATION,4000,15.33,0.12,Y,4,1,4000
21.0,31000,RENT,2,PERSONAL,5000,10.99,0.16,N,4,1,5000
21.0,25000,RENT,0,HOMEIMPROVEMENT,7000,12.69,0.28,N,2,1,7000
21.0,153000,MORTGAGE,1,DEBTCONSOLIDATION,1825,15.62,0.01,N,4,1,1825
21.0,29000,RENT,1,DEBTCONSOLIDATION,11200,12.42,0.4,N,4,1,11200
21.0,45150,RENT,5,EDUCATION,17000,14.18,0.36,N,2,1,17000
21.0,30000,RENT,2,VENTURE,5000,12.18,0.17,N,2,1,5000
21.0,24996,RENT,2,MEDICAL,5000,14.09,0.2,N,3,1,5000
21.0,38000,RENT,6,DEBTCONSOLIDATION,11750,15.95,0.29,Y,2,1,11750
21.0,40000,RENT,5,EDUCATION,15000,12.99,0.38,Y,3,1,15000
21.0,36000,RENT,2,PERSONAL,15000,10.25,0.42,N,4,1,15000
21.0,42000,RENT,3,MEDICAL,14000,11.83,0.32,N,3,1,14000
21.0,78000,MORTGAGE,4,HOMEIMPROVEMENT,12000,13.48,0.15,N,2,1,12000
21.0,30000,RENT,1,VENTURE,12250,6.54,0.41,N,3,1,12250
21.0,66300,RENT,0,MEDICAL,24250,15.7,0.31,N,4,1,24250
21.0,36000,RENT,0,DEBTCONSOLIDATION,10000,12.84,0.27,N,2,1,10000
21.0,33276,RENT,2,DEBTCONSOLIDATION,10000,18.3,0.3,Y,4,1,10000
21.0,30000,MORTGAGE,5,PERSONAL,8000,5.42,0.27,N,4,1,8000
21.0,14400,RENT,2,PERSONAL,2700,11.86,0.19,N,3,1,2700
21.0,38000,RENT,5,EDUCATION,12000,10.99,0.31,N,2,1,12000
21.0,30000,RENT,2,VENTURE,15000,16.7,0.5,Y,2,1,15000
21.0,33996,RENT,5,EDUCATION,5000,13.98,0.15,N,2,1,5000
21.0,24000,RENT,5,PERSONAL,5000,10.62,0.21,N,2,1,5000
21.0,30000,RENT,3,VENTURE,10000,16.77,0.33,N,3,1,10000
21.0,18000,RENT,2,DEBTCONSOLIDATION,3000,11.71,0.17,N,4,1,3000
21.0,18000,RENT,1,EDUCATION,2000,15.7,0.11,Y,4,1,2000
21.0,30000,RENT,1,EDUCATION,14500,13.72,0.48,N,2,1,14500
21.0,41000,RENT,0,EDUCATION,11000,15.31,0.26,Y,2,1,11000
21.0,15120,RENT,0,EDUCATION,2500,13.48,0.16,N,3,1,2500
21.0,33996,RENT,0,MEDICAL,7500,15.05,0.23,N,2,1,7500
21.0,39000,RENT,1,HOMEIMPROVEMENT,5600,14.96,0.14,Y,3,1,5600
21.0,34000,RENT,2,VENTURE,5100,11.71,0.15,N,3,1,5100
21.0,26400,RENT,3,EDUCATION,10000,11.71,0.38,N,4,1,10000
21.0,42000,RENT,2,HOMEIMPROVEMENT,9600,14.59,0.23,N,2,1,9600
21.0,30000,RENT,1,PERSONAL,10000,13.24,0.33,Y,4,1,10000
21.0,34000,MORTGAGE,5,MEDICAL,5000,11.49,0.15,N,3,1,5000
21.0,32000,RENT,0,VENTURE,8000,14.11,0.25,Y,4,1,8000
21.0,48000,RENT,2,VENTURE,15000,8.32,0.31,N,4,1,15000
21.0,26400,RENT,0,DEBTCONSOLIDATION,6000,9.76,0.23,N,3,1,6000
21.0,30000,RENT,5,PERSONAL,10000,7.51,0.33,N,2,1,10000
21.0,44000,RENT,6,PERSONAL,13000,15.7,0.3,N,4,1,13000
21.0,56000,MORTGAGE,5,MEDICAL,15000,15.31,0.27,Y,2,1,15000
21.0,25000,RENT,4,PERSONAL,8800,9.91,0.35,N,4,1,8800
21.0,49110,RENT,5,PERSONAL,6000,15.96,0.12,N,3,1,6000
21.0,25000,RENT,5,PERSONAL,8500,10.65,0.34,N,3,1,8500
21.0,88000,MORTGAGE,2,PERSONAL,10000,8.94,0.11,N,2,1,10000
21.0,30000,RENT,4,MEDICAL,10000,13.49,0.33,N,4,1,10000
21.0,60000,RENT,5,EDUCATION,24000,11.49,0.4,N,3,1,24000
21.0,39600,MORTGAGE,5,MEDICAL,9000,15.99,0.23,Y,4,1,9000
21.0,18000,RENT,1,PERSONAL,6700,11.46,0.37,N,4,1,6700
21.0,24000,RENT,2,DEBTCONSOLIDATION,10000,17.27,0.42,Y,3,1,10000
21.0,41000,RENT,5,MEDICAL,12000,14.22,0.29,N,2,1,12000
21.0,45996,RENT,5,MEDICAL,2500,13.16,0.05,Y,2,1,2500
21.0,26400,RENT,2,HOMEIMPROVEMENT,5000,15.13,0.19,N,2,1,5000
21.0,78996,RENT,0,HOMEIMPROVEMENT,10000,6.17,0.12,N,3,1,10000
21.0,46000,MORTGAGE,3,PERSONAL,2500,11.48,0.05,N,2,1,2500
21.0,51000,RENT,5,EDUCATION,17000,7.9,0.33,N,4,1,17000
21.0,25000,RENT,1,EDUCATION,10000,5.99,0.4,N,4,1,10000
21.0,32400,RENT,2,EDUCATION,7750,14.96,0.23,Y,2,1,7750
21.0,44004,RENT,1,VENTURE,10000,17.49,0.23,Y,4,1,10000
21.0,50160,RENT,5,PERSONAL,3000,15.62,0.06,Y,4,1,3000
21.0,52000,MORTGAGE,5,PERSONAL,18000,13.48,0.35,N,2,1,18000
21.0,30000,RENT,2,MEDICAL,4200,11.36,0.14,N,4,1,4200
21.0,44000,RENT,4,EDUCATION,16000,10.99,0.36,N,3,1,16000
21.0,26785,RENT,6,PERSONAL,11000,13.98,0.41,Y,2,1,11000
21.0,30000,RENT,5,MEDICAL,8000,12.84,0.27,N,3,1,8000
21.0,32000,RENT,2,PERSONAL,11000,13.57,0.34,N,4,1,11000
21.0,61455,MORTGAGE,3,MEDICAL,9600,15.58,0.14,N,4,1,9600
21.0,32000,RENT,6,PERSONAL,10000,11.14,0.31,N,4,1,10000
21.0,14400,RENT,0,MEDICAL,2800,13.11,0.2,Y,3,1,2800
21.0,24000,RENT,0,EDUCATION,8000,13.23,0.33,N,3,1,8000
21.0,29000,RENT,0,EDUCATION,8000,18.25,0.28,N,2,1,8000
21.0,36000,RENT,5,VENTURE,12000,12.61,0.35,Y,4,1,12000
21.0,29000,MORTGAGE,0,MEDICAL,10000,11.49,0.34,N,3,1,10000
21.0,12000,RENT,0,HOMEIMPROVEMENT,3000,10.99,0.25,N,2,1,3000
21.0,26000,RENT,2,HOMEIMPROVEMENT,3000,6.91,0.12,N,2,1,3000
21.0,19200,RENT,4,MEDICAL,4000,16.49,0.21,Y,2,1,4000
21.0,34368,RENT,3,DEBTCONSOLIDATION,12000,9.91,0.35,N,4,1,12000
21.0,30000,RENT,1,HOMEIMPROVEMENT,3000,15.62,0.1,N,2,1,3000
21.0,12000,RENT,2,PERSONAL,4000,10.99,0.33,N,2,1,4000
21.0,34000,RENT,5,HOMEIMPROVEMENT,1200,9.91,0.04,N,3,1,1200
21.0,118000,MORTGAGE,6,VENTURE,19550,15.62,0.17,Y,4,1,19550
21.0,33996,RENT,0,VENTURE,5000,12.53,0.15,Y,2,1,5000
21.0,28000,RENT,0,DEBTCONSOLIDATION,7000,13.99,0.26,N,3,1,7000
21.0,49000,RENT,5,MEDICAL,5000,14.96,0.1,Y,4,1,5000
21.0,30000,RENT,0,MEDICAL,14000,11.26,0.47,N,2,1,14000
21.0,37000,RENT,0,MEDICAL,4000,17.27,0.11,N,4,1,4000
21.0,42000,RENT,1,EDUCATION,4800,14.09,0.11,N,2,1,4800
21.0,15600,RENT,2,PERSONAL,3600,11.66,0.21,Y,2,1,3600
21.0,44000,RENT,2,EDUCATION,18000,16.89,0.41,N,4,1,18000
21.0,52800,MORTGAGE,5,DEBTCONSOLIDATION,15000,11.86,0.29,N,2,1,15000
21.0,15996,RENT,3,DEBTCONSOLIDATION,4000,15.37,0.25,Y,4,1,4000
21.0,44000,RENT,5,HOMEIMPROVEMENT,4000,13.43,0.09,Y,2,1,4000
21.0,24000,RENT,0,HOMEIMPROVEMENT,1500,14.96,0.06,Y,3,1,1500
21.0,69000,MORTGAGE,5,HOMEIMPROVEMENT,8000,17.58,0.11,N,2,1,8000
21.0,72000,RENT,4,VENTURE,24000,10.99,0.33,N,3,1,24000
21.0,35000,RENT,5,MEDICAL,15000,7.9,0.43,N,2,1,15000
21.0,36000,MORTGAGE,0,MEDICAL,7000,8.0,0.18,N,3,1,7000
21.0,24000,OWN,2,PERSONAL,7200,12.87,0.31,N,2,1,7200
21.0,12000,RENT,1,DEBTCONSOLIDATION,2400,11.49,0.2,N,4,1,2400
21.0,32000,RENT,3,EDUCATION,2000,16.49,0.06,N,4,1,2000
21.0,36000,RENT,4,MEDICAL,12250,11.26,0.34,N,4,1,12250
21.0,15000,RENT,1,DEBTCONSOLIDATION,6000,13.57,0.4,N,2,1,6000
21.0,57000,MORTGAGE,6,MEDICAL,8000,14.96,0.14,N,3,1,8000
21.0,30988,RENT,0,PERSONAL,2400,16.29,0.08,Y,3,1,2400
21.0,34000,RENT,0,EDUCATION,5500,16.7,0.16,N,3,1,5500
21.0,26400,RENT,2,DEBTCONSOLIDATION,5000,12.84,0.19,Y,3,1,5000
21.0,32000,RENT,3,MEDICAL,5000,15.7,0.16,Y,3,1,5000
21.0,83004,MORTGAGE,0,DEBTCONSOLIDATION,10000,15.28,0.12,N,4,1,10000
21.0,45000,RENT,4,PERSONAL,15000,7.49,0.33,N,2,1,15000
21.0,48504,RENT,0,MEDICAL,15000,14.26,0.31,N,2,1,15000
21.0,29000,RENT,5,MEDICAL,9200,10.62,0.32,N,3,1,9200
21.0,18000,RENT,1,MEDICAL,3000,13.61,0.17,N,2,1,3000
21.0,33000,RENT,0,PERSONAL,14500,10.74,0.44,N,2,1,14500
21.0,30000,RENT,2,DEBTCONSOLIDATION,13000,12.53,0.46,N,3,1,13000
21.0,40000,RENT,3,PERSONAL,13250,9.99,0.33,N,2,1,13250
21.0,36000,RENT,5,EDUCATION,15000,6.62,0.42,N,2,1,15000
21.0,42000,RENT,2,EDUCATION,1000,7.51,0.02,N,4,1,1000
21.0,52020,MORTGAGE,0,MEDICAL,15000,12.84,0.25,Y,3,1,15000
21.0,38000,RENT,5,MEDICAL,15000,8.88,0.39,N,3,1,15000
21.0,29000,RENT,0,HOMEIMPROVEMENT,4000,9.96,0.14,N,4,1,4000
21.0,78200,MORTGAGE,5,VENTURE,7500,16.02,0.09,N,2,1,7500
21.0,34000,RENT,5,VENTURE,8500,16.89,0.25,Y,3,1,8500
21.0,32000,MORTGAGE,4,MEDICAL,7000,15.62,0.22,N,4,1,7000
21.0,44000,RENT,5,EDUCATION,20000,11.36,0.45,N,4,1,20000
21.0,25200,RENT,5,MEDICAL,4000,16.49,0.16,Y,2,1,4000
21.0,15600,RENT,0,HOMEIMPROVEMENT,5000,14.46,0.31,N,4,1,5000
21.0,42000,MORTGAGE,5,EDUCATION,8000,11.86,0.19,N,3,1,8000
21.0,33996,RENT,3,EDUCATION,3000,16.32,0.09,N,2,1,3000
21.0,40000,RENT,1,EDUCATION,5000,17.27,0.13,Y,4,1,5000
21.0,30000,RENT,3,VENTURE,10000,17.27,0.33,N,4,1,10000
21.0,24000,RENT,5,DEBTCONSOLIDATION,9250,7.49,0.39,N,3,1,9250
21.0,119000,RENT,2,DEBTCONSOLIDATION,7600,14.61,0.06,N,2,1,7600
21.0,42000,RENT,4,EDUCATION,1500,15.7,0.04,N,3,1,1500
21.0,34320,RENT,4,DEBTCONSOLIDATION,3000,16.32,0.09,Y,2,1,3000
21.0,34000,RENT,2,DEBTCONSOLIDATION,6000,14.91,0.18,N,4,1,6000
21.0,18000,RENT,1,HOMEIMPROVEMENT,1500,12.84,0.08,Y,4,1,1500
21.0,30000,RENT,4,DEBTCONSOLIDATION,2400,9.76,0.08,N,3,1,2400
21.0,30000,RENT,5,PERSONAL,10000,14.61,0.33,N,4,1,10000
21.0,46000,RENT,5,VENTURE,14000,13.48,0.29,N,4,1,14000
21.0,37000,RENT,3,DEBTCONSOLIDATION,15000,6.62,0.41,N,2,1,15000
21.0,24996,RENT,1,PERSONAL,9250,12.53,0.39,N,2,1,9250
21.0,42000,RENT,5,VENTURE,1000,15.58,0.02,Y,4,1,1000
21.0,34000,RENT,3,MEDICAL,12000,13.92,0.35,N,2,1,12000
21.0,48500,RENT,0,VENTURE,15000,12.87,0.31,Y,3,1,15000
21.0,26400,RENT,5,HOMEIMPROVEMENT,9000,13.49,0.34,Y,4,1,9000
21.0,44000,MORTGAGE,5,PERSONAL,6000,11.71,0.14,N,2,1,6000
21.0,25200,RENT,3,PERSONAL,6000,13.92,0.24,N,4,1,6000
21.0,29004,RENT,0,VENTURE,2500,12.23,0.09,Y,3,1,2500
21.0,56000,RENT,2,MEDICAL,25000,17.04,0.37,Y,4,1,25000
21.0,36000,RENT,5,DEBTCONSOLIDATION,10000,17.27,0.28,N,2,1,10000
21.0,33996,RENT,1,HOMEIMPROVEMENT,6000,9.88,0.18,N,2,1,6000
21.0,18000,RENT,1,PERSONAL,3000,15.65,0.17,N,3,1,3000
21.0,38500,RENT,0,EDUCATION,12800,8.9,0.33,N,3,1,12800
21.0,35000,RENT,4,MEDICAL,7000,15.65,0.2,N,2,1,7000
21.0,51000,MORTGAGE,6,MEDICAL,10400,8.94,0.2,N,3,1,10400
21.0,28200,MORTGAGE,2,DEBTCONSOLIDATION,1000,16.49,0.04,N,2,1,1000
21.0,50000,RENT,4,DEBTCONSOLIDATION,6000,14.91,0.12,N,4,1,6000
21.0,61402,RENT,5,HOMEIMPROVEMENT,10800,17.58,0.18,N,3,1,10800
21.0,29004,RENT,3,MEDICAL,12000,10.0,0.41,N,2,1,12000
21.0,19000,RENT,2,MEDICAL,1500,14.35,0.08,Y,2,1,1500
21.0,28800,RENT,0,EDUCATION,10000,12.49,0.35,N,4,1,10000
21.0,30000,RENT,1,EDUCATION,7000,18.64,0.23,Y,3,1,7000
21.0,30852,RENT,4,EDUCATION,11200,7.29,0.36,N,4,1,11200
21.0,45000,RENT,0,PERSONAL,20500,15.33,0.5,Y,2,1,20500
21.0,52500,MORTGAGE,3,MEDICAL,9500,15.58,0.18,N,2,1,9500
21.0,18000,RENT,2,MEDICAL,4500,13.49,0.25,Y,3,1,4500
21.0,34000,RENT,5,MEDICAL,12000,13.16,0.35,N,4,1,12000
21.0,35280,RENT,0,PERSONAL,10000,14.96,0.29,Y,3,1,10000
21.0,55400,MORTGAGE,5,MEDICAL,1500,14.61,0.03,Y,2,1,1500
21.0,44000,RENT,2,EDUCATION,16000,15.28,0.36,Y,2,1,16000
21.0,26124,RENT,3,DEBTCONSOLIDATION,8000,15.23,0.32,N,2,1,8000
21.0,36000,RENT,0,MEDICAL,4500,13.99,0.13,N,3,1,4500
21.0,54000,RENT,5,EDUCATION,3200,17.49,0.06,Y,4,1,3200
21.0,51996,RENT,0,MEDICAL,18000,7.9,0.35,N,4,1,18000
21.0,36000,RENT,5,PERSONAL,10000,12.69,0.28,N,2,1,10000
21.0,38400,RENT,0,EDUCATION,15000,8.9,0.39,N,3,1,15000
21.0,36100,RENT,5,PERSONAL,10000,10.0,0.28,N,2,1,10000
21.0,25000,RENT,0,DEBTCONSOLIDATION,8000,13.48,0.32,Y,2,1,8000
21.0,40000,RENT,0,PERSONAL,15000,11.71,0.38,N,3,1,15000
21.0,42000,RENT,5,PERSONAL,12000,9.91,0.29,N,4,1,12000
21.0,48000,RENT,1,PERSONAL,16500,10.0,0.34,N,2,1,16500
21.0,34000,RENT,5,PERSONAL,5000,11.71,0.15,N,3,1,5000
21.0,35000,RENT,1,VENTURE,9000,12.69,0.27,N,3,1,9000
21.0,33000,RENT,3,MEDICAL,6000,16.89,0.18,N,2,1,6000
21.0,25000,RENT,2,PERSONAL,7800,14.42,0.3,Y,4,1,7800
21.0,38400,RENT,5,DEBTCONSOLIDATION,13000,8.49,0.34,N,2,1,13000
21.0,44000,RENT,5,MEDICAL,12000,14.54,0.27,Y,2,1,12000
21.0,29004,RENT,5,PERSONAL,12000,5.99,0.41,N,3,1,12000
21.0,24000,RENT,5,MEDICAL,10000,13.85,0.42,N,4,1,10000
22.0,33000,RENT,6,PERSONAL,10000,11.12,0.3,N,2,1,10000
22.0,30000,RENT,3,MEDICAL,5000,16.49,0.17,N,4,1,5000
22.0,32000,RENT,6,EDUCATION,8000,15.58,0.25,N,3,1,8000
22.0,39000,MORTGAGE,6,MEDICAL,3000,15.62,0.08,N,4,1,3000
22.0,40000,RENT,0,PERSONAL,16000,13.85,0.4,N,2,1,16000
22.0,49000,RENT,0,PERSONAL,12000,15.31,0.24,Y,3,1,12000
22.0,25000,RENT,3,DEBTCONSOLIDATION,9000,10.99,0.37,N,2,1,9000
22.0,25200,RENT,2,HOMEIMPROVEMENT,10000,11.48,0.4,N,2,1,10000
22.0,30000,RENT,2,VENTURE,5000,14.42,0.17,N,3,1,5000
22.0,91800,MORTGAGE,6,MEDICAL,16800,15.62,0.17,Y,4,1,16800
22.0,25000,MORTGAGE,7,EDUCATION,14000,12.84,0.05,Y,2,1,14000
22.0,51600,RENT,1,VENTURE,3000,16.29,0.06,Y,2,1,3000
22.0,48000,RENT,5,MEDICAL,10000,17.56,0.21,Y,2,1,10000
